ap_id	geo_id
22267	2500361065
22283	2500367595
22302	2500371095
22313	2500373335
22333	2500377990
22341	2500379985
22345	2500380685
22003	2500500520
22016	2500502690
22027	2500505280
22072	2500516425
22076	2500516950
22088	2500520100
22094	2500522130
22095	2500523000
22102	2500525240
22167	2500538225
22201	2500545000
22212	2500546575
22218	2500549970
22245	2500556060
22247	2500556375
22265	2500560645
22273	2500562430
22292	2500568750
22293	2500569170
22331	2500577570
22104	2500701585
22062	2500713800
22089	2500721150
22109	2500726325
22221	2500750390
22296	2500769940
22334	2500778235
22009	2500901465
22030	2500905595
22038	2500907420
22071	2500916250
22092	2500921850
22105	2500925625
22107	2500926150
22116	2500927620
22119	2500927900
22128	2500929405
22144	2500932310
22149	2500934550
22163	2500937490
22164	2500937560
22168	2500938400
22180	2500940430
22184	2500941095
22196	2500943580
22203	2500945175
22204	2500945245
22211	2500946365
22229	2500952490
22252	2500957880
22254	2500958405
22258	2500959105
22259	2500959245
22262	2500960015
22291	2500968645
22298	2500970150
22320	2500974595
22329	2500977150
22013	2501102095
22029	2501105560
22047	2501109595
22053	2501112505
22066	2501114885
22068	2501115200
22074	2501116670
22091	2501121780
22106	2501125730
22129	2501129475
22130	2501129650
22154	2501135180
22156	2501135285
22190	2501142040
22192	2501142285
22206	2501145490
22216	2501147835
22223	2501151265
22253	2501158335
22268	2501161135
22272	2501161905
22289	2501168400
22312	2501173265
22319	2501174525
22337	2501179110
22033	2501306085
22043	2501308470
22059	2501313485
22061	2501313660
22087	2501319645
22112	2501326675
22120	2501328075
22135	2501330665
22137	2501330840
22159	2501336300
22161	2501337175
22191	2501342145
22194	2501342530
22256	2501358650
22279	2501365825
22281	2501367000
22297	2501370045
22306	2501372390
22325	2501376030
22339	2501379740
22008	2501501325
22024	2501504825
22060	2501513590
22069	2501516040
22108	2501526290
22111	2501526535
22117	2501527690
22127	2501529265
22143	2501531785
22183	2501540990
22210	2501546330
22230	2501552560
22237	2501554030
22278	2501564145
22275	2501562745
22309	2501572880
22327	2501576380
22340	2501579915
22349	2501582175
22002	2501700380
22010	2501701605
22012	2501701955
22014	2501702130
22019	2501703005
22023	2501704615
22026	2501705070
22031	2501705805
22037	2501707350
22048	2501709840
22049	2501711000
22051	2501711525
22056	2501713135
22067	2501715060
22079	2501717475
22081	2501717825
22093	2501721990
22100	2501724925
22115	2501727480
22136	2501730700
22139	2501731085
22141	2501731540
22155	2501735215
22157	2501735425
22158	2501735950
22160	2501737000
22165	2501737875
22170	2501738715
22174	2501739625
22176	2501739835
22178	2501740115
22198	2501743895
22207	2501745560
22217	2501748955
22232	2501752805
22246	2501756130
22269	2501761380
22270	2501761590
22274	2501762535
22284	2501767665
22286	2501768050
22288	2501768260
22295	2501769415
22299	2501770360
22301	2501771025
22305	2501772215
22308	2501772600
22315	2501773790
22326	2501776135
22330	2501777255
22342	2501780230
22344	2501780510
22347	2501781035
22197	2501943790
22018	2502102935
22025	2502104930
22046	2502109175
22050	2502111315
22065	2502114640
22073	2502116495
22078	2502117405
22099	2502124820
22133	2502130455
22175	2502139765
22177	2502139975
22187	2502141515
22189	2502141690
22199	2502144105
22208	2502146050
22220	2502150250
22238	2502154100
22243	2502155745
22244	2502155955
22266	2502160785
22285	2502167945
22307	2502172495
22317	2502174175
22335	2502178690
22350	2502182315
22001	2502300170
22042	2502308085
22044	2502309000
22052	2502311665
22082	2502317895
22083	2502318455
22118	2502327795
22122	2502328285
22123	2502328495
22131	2502330210
22142	2502331645
22145	2502333220
22146	2502333920
22169	2502338540
22171	2502338855
22173	2502339450
22182	2502340850
22219	2502350145
22231	2502352630
22239	2502354310
22240	2502354415
22250	2502357600
22251	2502357775
22264	2502360330
22310	2502372985
22323	2502375260
22338	2502379530
22035	2502507000
22057	2502513205
22248	2502556585
22011	2502701885
22015	2502702480
22017	2502702760
22021	2502703740
22028	2502705490
22032	2502706015
22034	2502706365
22039	2502707525
22045	2502709105
22054	2502712715
22064	2502714395
22077	2502717300
22080	2502717685
22084	2502718560
22097	2502723875
22103	2502725485
22110	2502726430
22124	2502728740
22125	2502728950
22134	2502730560
22138	2502730945
22140	2502731435
22147	2502734165
22151	2502734795
22153	2502735075
22162	2502737420
22179	2502740255
22185	2502741165
22186	2502741340
22188	2502741585
22202	2502745105
22215	2502747135
22213	2502746820
22214	2502746925
22222	2502750670
22226	2502751825
22228	2502752420
22234	2502753120
22235	2502753225
22241	2502755395
22255	2502758580
22257	2502758825
22271	2502761800
22276	2502763165
22280	2502766105
22282	2502767385
22287	2502768155
22290	2502768610
22294	2502769275
22303	2502771480
22304	2502771620
22311	2502773090
22316	2502773895
22322	2502775155
22324	2502775400
22321	2502775015
22328	2502777010
22343	2502780405
22348	2502782000
22020	2500103690
22007	2500901260
22166	2500937995
22181	2500940710
22114	2501127100
22005	2501300840
22227	2501352144
22332	2501377890
22086	2501519370
22314	2501773440
22040	2502107740
22101	2502125172
22336	2502178972
22346	2502581005
22277	2502763345
	2500100000
	2500500000
	2500900000
	2501900000
	2502300000
	2502500000
46001	5000100325
46027	5000108575
46029	5000109025
46051	5000116000
46077	5000128600
46081	5000129575
46087	5000131525
46106	5000139325
46108	5000140075
